       #NI      #im       #nc       #ic                                                      #SMILES
        6   000148         1      3801                                                   C(=O)N.CNC
        6   000149         2      3803                                                   C(=O)N.CSC
        6   000150         2      3805                                                  C(=O)O.CC=O
        6   000151         4      3809                                                   C(=O)O.CCC
        6   000152         3      3812                                                   C(=O)O.CCN
        6   000153        10      3822                                                  C(C(C=O)N)O
        6   000154        12      3834                                                  C(C=O)N.C=C
        6   000155         4      3838                                                  C(C=O)N.C=N
        6   000156        48      3886                                                  C(C=O)N.C=O
        6   000157        13      3899                                                   C(C=O)N.CC
        6   000158         2      3901                                                   C(C=O)N.CN
        6   000159         2      3903                                                   C(C=O)N.CO
        6   000160        75      3978                                                   C(C=O)NC=O
        6   000161         7      3985                                                   C(CC=O)C=O
        6   000162        12      3997                                                    C(CC=O)CN
        6   000163         1      3998                                                    C(CC=O)CS
        6   000164         4      4002                                                     C(CCN)CN
        6   000165         2      4004                                                  C(CN)C(=O)N
        6   000166         5      4009                                                  C(CN)C(=O)O
        6   000167        10      4019                                                  C(CO)C(=O)N
        6   000168         5      4024                                                   C(CO)N.C=O
        6   000169        10      4034                                                    C(CO)NC=O
        6   000170         1      4035                                                    C=C(CCN)N
        6   000171        23      4058                                                   C=C.C=O.CC
        6   000172         7      4065                                                   C=C.C=O.CN
        6   000173         1      4066                                                   C=C.C=O.CO
        6   000174        12      4078                                                  C=C.CC(=O)N
        6   000175         2      4080                                                  C=C.CC(=O)O
        6   000176         1      4081                                                   C=C.CC(C)O
        6   000177        13      4094                                                    C=C.CC.CC
        6   000178         1      4095                                                    C=C.CC.CN
        6   000179         3      4098                                                    C=C.CC.CO
        6   000180        19      4117                                                    C=C.CCC=O
        6   000181         3      4120                                                     C=C.CCCN
        6   000182        13      4133                                                    C=C.CNC=O
        6   000183        20      4153                                                   C=CC=C.C=O
        6   000184        49      4202                                                    C=CC=C.CC
        6   000185         4      4206                                                    C=CC=C.CN
        6   000186         4      4210                                                    C=CC=C.CO
        6   000187         7      4217                                                     C=CCCC=O
        6   000188         1      4218                                                    C=CN.CC=O
        6   000189         2      4220                                                     C=CO.CCC
        6   000190         2      4222                                                     C=CO.CCN
        6   000191         2      4224                                                   C=N.C=O.CC
        6   000192         3      4227                                                   C=N.C=O.CN
        6   000193         4      4231                                                  C=N.CC(=O)N
        6   000194         3      4234                                                    C=N.CCC=O
        6   000195         3      4237                                                    C=N.CNC=O
        6   000196        25      4262                                                   C=O.C=O.CC
        6   000197         3      4265                                                   C=O.C=O.CN
        6   000198         1      4266                                                   C=O.C=O.CO
        6   000199         1      4267                                                  C=O.CC(=C)N
        6   000200        59      4326                                                  C=O.CC(=O)N
        6   000201         5      4331                                                  C=O.CC(=O)O
        6   000202         3      4334                                                   C=O.CC(C)C
        6   000203         4      4338                                                   C=O.CC(C)O
        6   000204       119      4457                                                    C=O.CC.CC
        6   000205        46      4503                                                    C=O.CC.CN
        6   000206        11      4514                                                    C=O.CC.CO
        6   000207         8      4522                                                    C=O.CCC=C
        6   000208        38      4560                                                    C=O.CCC=O
        6   000209        11      4571                                                     C=O.CCCC
        6   000210        45      4616                                                     C=O.CCCN
        6   000211         2      4618                                                    C=O.CN.CN
        6   000212         7      4625                                                    C=O.CN.CO
        6   000213         5      4630                                                    C=O.CNC=N
        6   000214        76      4706                                                    C=O.CNC=O
        6   000215         3      4709                                                    C=O.CO.CO
        6   000216         3      4712                                                  CC(=O)N(C)C
        6   000217         1      4713                                                   CC(=O)N.CN
        6   000218         2      4715                                                   CC(=O)O.CN
        6   000219        70      4785                                                  CC(C(=O)N)N
        6   000220        11      4796                                                    CC(C)CC=O
        6   000221         9      4805                                                     CC(C)CCN
        6   000222         7      4812                                                    CC(CC=O)O
        6   000223        19      4831                                                   CC.CC(=O)N
        6   000224         3      4834                                                   CC.CC(=O)O
        6   000225         1      4835                                                    CC.CC(C)C
        6   000226       103      4938                                                     CC.CC.CC
        6   000227        30      4968                                                     CC.CC.CN
        6   000228         2      4970                                                     CC.CC.CO
        6   000229         6      4976                                                     CC.CC.CS
        6   000230         1      4977                                                     CC.CCC=C
        6   000231        36      5013                                                     CC.CCC=O
