       #NI      #im       #nc       #ic                                                      #SMILES
        6   000147        12       631                                                    C=O.CNC=O
        6   000148         1       632                                                    C=O.CO.CO
        6   000149         1       633                                                  CC(=O)N(C)C
        6   000150         1       634                                                   CC(=O)O.CN
        6   000151         7       641                                                  CC(C(=O)N)N
        6   000152         2       643                                                    CC(CC=O)O
        6   000153         1       644                                                   CC.CC(=O)N
        6   000154         1       645                                                   CC.CC(=O)O
        6   000155         1       646                                                     CC.CCC=C
        6   000156         1       647                                                     CC.CN.CO
        6   000157         2       649                                                     CC.CNC=O
        6   000158         1       650                                                     CC.CO.CO
        6   000159         3       653                                                    CC=C.CC=O
        6   000160         2       655                                                     CC=CC=CO
        6   000161         2       657                                                    CC=O.CC=O
        6   000162         2       659                                                     CC=O.CCN
        6   000163         1       660                                                     CC=O.CCO
        6   000164         3       663                                                   CCC(=C)C=C
        6   000165         8       671                                                    CCC(=O)NC
        6   000166         3       674                                                    CCC(C=O)N
        6   000167         1       675                                                     CCC=C.CN
        6   000168         4       679                                                     CCC=CC=C
        6   000169         2       681                                                     CCC=O.CO
        6   000170         4       685                                                    CCCC(=O)N
        6   000171         1       686                                                    CCCC(=O)O
        6   000172         3       689                                                      CCCNC=O
        6   000173         8       697                                                    CCNC(=O)C
        6   000174         2       699                                                     CN.CNC=O
        6   000175        10       709                                                    CNC(=O)CN
        6   000176         1       710                                                    CNCC(=O)N
        6   000177         1       711                                                  Cc1cc[nH]c1
        6   000178         2       713                                                     c1ccccc1
        7   000179         6       719                                               C(=O)N.C(C=O)N
        7   000180         2       721                                                C(=O)N.C=C.CN
        7   000181         6       727                                                C(=O)N.C=CC=C
        7   000182         2       729                                               C(=O)N.C=O.C=O
        7   000183         5       734                                                C(=O)N.C=O.CN
        7   000184         4       738                                                C(=O)N.C=O.CO
        7   000185         8       746                                               C(=O)N.CC(=O)N
        7   000186         1       747                                               C(=O)N.CC(=O)O
        7   000187         1       748                                                 C(=O)N.CC.CO
        7   000188         4       752                                                 C(=O)N.CCC=C
        7   000189         5       757                                                 C(=O)N.CCC=O
        7   000190         1       758                                                 C(=O)N.CN.CN
        7   000191         1       759                                                 C(=O)N.CN.CO
        7   000192        16       775                                                 C(=O)N.CNC=O
        7   000193         1       776                                                 C(=O)N.CO.CO
        7   000194         1       777                                               C(=O)O.C(C=O)N
        7   000195         1       778                                                C(=O)O.C=O.CN
        7   000196         2       780                                               C(=O)O.CC(=O)N
        7   000197         2       782                                                 C(=O)O.CC.CC
        7   000198         1       783                                                 C(=O)O.CC.CO
        7   000199         1       784                                                  C(=O)O.CCCN
        7   000200         2       786                                                 C(=O)O.CNC=O
        7   000201         7       793                                               C(C(=O)N)N.C=O
        7   000202         8       801                                                C(C(=O)N)NC=O
        7   000203         1       802                                                C(C(=O)O)NC=O
        7   000204         2       804                                               C(C(C(=O)N)N)O
        7   000205         1       805                                                C(C=O)C(C=O)N
        7   000206         2       807                                                 C(C=O)N.CC=O
        7   000207         1       808                                                C(CC(=O)N)C=O
        7   000208         1       809                                                C(CC(=O)O)C=O
        7   000209         1       810                                                 C(CC(=O)O)CN
        7   000210         1       811                                                  C(CC=O)C=CN
        7   000211         1       812                                                  C(CC=O)CC=O
        7   000212         1       813                                                  C(CNC=O)C=O
        7   000213         2       815                                                 C(CO)C=O.C=O
        7   000214         1       816                                                  C(CO)C=O.CO
        7   000215         2       818                                                   C(CO)N.CCO
        7   000216         1       819                                                 C1CC(NC1)C=O
        7   000217         1       820                                                 C1CCN(C1)C=O
        7   000218         4       824                                                 C=C.C=C.CC=O
        7   000219         2       826                                                  C=C.C=C.CCC
        7   000220         2       828                                                  C=C.C=C.CCN
        7   000221         2       830                                                  C=C.C=C.CCO
        7   000222         2       832                                                C=C.C=CC(=C)N
        7   000223         2       834                                                C=C.C=CC(=C)O
        7   000224         2       836                                                  C=C.C=CC=CN
        7   000225         2       838                                                  C=C.C=CC=CO
        7   000226         3       841                                                 C=C.C=O.CC=O
        7   000227         3       844                                                  C=C.C=O.CCN
        7   000228         1       845                                                  C=C.C=O.CCO
        7   000229         6       851                                                C=C.CC(=C)C=C
        7   000230         2       853                                                 C=C.CC(=O)NC
        7   000231         2       855                                                 C=C.CC(C=O)N
        7   000232         1       856                                                  C=C.CC.CC=O
        7   000233         4       860                                                  C=C.CC=CC=C
        7   000234         7       867                                                  C=C.CC=O.CN
        7   000235         2       869                                                 C=C.CCC(=O)N
        7   000236         2       871                                                   C=C.CCCC=O
        7   000237         3       874                                                   C=C.CCNC=O
        7   000238         3       877                                                  C=CC(=C)CCN
        7   000239         1       878                                                C=CC(=C)N.C=O
        7   000240         2       880                                                 C=CC(=C)O.CC
        7   000241         6       886                                                  C=CC=C.CC=C
        7   000242        18       904                                                  C=CC=C.CC=O
        7   000243         4       908                                                   C=CC=C.CCC
        7   000244         4       912                                                   C=CC=C.CCN
        7   000245         4       916                                                    C=CC=CCCN
        7   000246         1       917                                                  C=CC=CN.C=O
        7   000247         1       918                                                   C=CC=CO.CC
